$: |0| finalbitnum: |0| firstbitseller: |0|monero_last_rate: |0| num: |1.0|random_num: |0
$: |66.0784| finalbitnum: |50.81733928571428| firstbitseller: |57.923159999999996|monero_last_rate: |44.293710000000004| num: |121.0|random_num: |16.31985506800632
$: |66.0784| finalbitnum: |50.81733928571428| firstbitseller: |57.923159999999996|monero_last_rate: |44.293710000000004| num: |122.0|random_num: |17.777365957576624
$: |66.0784| finalbitnum: |50.81733928571428| firstbitseller: |57.923159999999996|monero_last_rate: |44.293710000000004| num: |123.0|random_num: |14.912905860815181
$: |66.0784| finalbitnum: |50.81733928571428| firstbitseller: |57.923159999999996|monero_last_rate: |44.293710000000004| num: |124.0|random_num: |18.908697927061432
$: |66.0784| finalbitnum: |50.81733928571428| firstbitseller: |57.923159999999996|monero_last_rate: |44.293710000000004| num: |125.0|random_num: |11.192216049724685
$: |66.0784| finalbitnum: |50.81733928571428| firstbitseller: |57.923159999999996|monero_last_rate: |44.293710000000004| num: |126.0|random_num: |15.994087182587725
$: |66.0784| finalbitnum: |50.81733928571428| firstbitseller: |57.923159999999996|monero_last_rate: |44.293710000000004| num: |127.0|random_num: |16.115157636887353
$: |66.0784| finalbitnum: |50.81733928571428| firstbitseller: |57.923159999999996|monero_last_rate: |44.293710000000004| num: |128.0|random_num: |14.41768582741328
$: |66.0784| finalbitnum: |50.81733928571428| firstbitseller: |57.923159999999996|monero_last_rate: |44.293710000000004| num: |129.0|random_num: |16.1886370837887
$: |66.0784| finalbitnum: |50.81733928571428| firstbitseller: |57.923159999999996|monero_last_rate: |44.293710000000004| num: |130.0|random_num: |16.866913265333267
$: |66.0784| finalbitnum: |50.84360914285715| firstbitseller: |58.107048999999996|monero_last_rate: |44.293710000000004| num: |131.0|random_num: |15.26813231263279
$: |66.0784| finalbitnum: |50.85551114285715| firstbitseller: |58.107048999999996|monero_last_rate: |44.293710000000004| num: |132.0|random_num: |13.008945254012216
$: |66.0784| finalbitnum: |50.61002728571428| firstbitseller: |57.83|monero_last_rate: |44.293710000000004| num: |133.0|random_num: |19.980884500368173
$: |66.0784| finalbitnum: |50.61002728571428| firstbitseller: |57.83|monero_last_rate: |44.293710000000004| num: |134.0|random_num: |14.608886949108065
$: |66.0784| finalbitnum: |50.61002728571428| firstbitseller: |57.83|monero_last_rate: |44.293710000000004| num: |135.0|random_num: |15.363664954962259
$: |66.0784| finalbitnum: |50.61002728571428| firstbitseller: |57.83|monero_last_rate: |44.293710000000004| num: |136.0|random_num: |12.287492975036752
$: |66.0784| finalbitnum: |50.61002728571428| firstbitseller: |57.83|monero_last_rate: |44.293710000000004| num: |137.0|random_num: |19.632619455169834
$: |66.0784| finalbitnum: |50.61002728571428| firstbitseller: |57.83|monero_last_rate: |44.293710000000004| num: |138.0|random_num: |19.238487843860703
$: |66.0784| finalbitnum: |50.61002728571428| firstbitseller: |57.83|monero_last_rate: |44.293710000000004| num: |139.0|random_num: |16.956478033057014
$: |66.0784| finalbitnum: |50.61002728571428| firstbitseller: |57.83|monero_last_rate: |44.293710000000004| num: |140.0|random_num: |11.301492587241048
$: |66.0784| finalbitnum: |50.61002728571428| firstbitseller: |57.83|monero_last_rate: |44.293710000000004| num: |141.0|random_num: |17.45561150792109
$: |66.0784| finalbitnum: |50.61002728571428| firstbitseller: |57.83|monero_last_rate: |44.293710000000004| num: |142.0|random_num: |11.427441025238366
$: |66.0784| finalbitnum: |50.61002728571428| firstbitseller: |57.83|monero_last_rate: |44.293710000000004| num: |143.0|random_num: |15.033889505434178
$: |66.0784| finalbitnum: |50.61002728571428| firstbitseller: |57.83|monero_last_rate: |44.293710000000004| num: |144.0|random_num: |18.51392511772175
$: |66.0784| finalbitnum: |50.61002728571428| firstbitseller: |57.83|monero_last_rate: |44.293710000000004| num: |145.0|random_num: |18.844584797416516
$: |66.0784| finalbitnum: |50.61002728571428| firstbitseller: |57.83|monero_last_rate: |44.293710000000004| num: |146.0|random_num: |10.92045583161702
$: |66.0784| finalbitnum: |50.61002728571428| firstbitseller: |57.83|monero_last_rate: |44.293710000000004| num: |147.0|random_num: |19.563417978285372
$: |66.0784| finalbitnum: |50.61002728571428| firstbitseller: |57.83|monero_last_rate: |44.293710000000004| num: |148.0|random_num: |11.589356593094887
$: |66.0784| finalbitnum: |50.61002728571428| firstbitseller: |57.83|monero_last_rate: |44.293710000000004| num: |149.0|random_num: |12.550310453878362
$: |66.0784| finalbitnum: |50.61002728571428| firstbitseller: |57.83|monero_last_rate: |44.293710000000004| num: |150.0|random_num: |18.01916945747437
$: |66.0784| finalbitnum: |50.61002728571428| firstbitseller: |57.83|monero_last_rate: |44.293710000000004| num: |151.0|random_num: |14.45311794138563
$: |66.0784| finalbitnum: |50.61002728571428| firstbitseller: |57.83|monero_last_rate: |44.293710000000004| num: |152.0|random_num: |10.148063407234266
$: |66.0784| finalbitnum: |50.61002728571428| firstbitseller: |57.83|monero_last_rate: |44.293710000000004| num: |153.0|random_num: |18.95614521288983
$: |66.0784| finalbitnum: |50.61002728571428| firstbitseller: |57.83|monero_last_rate: |44.293710000000004| num: |154.0|random_num: |18.98390834006593
$: |66.0784| finalbitnum: |50.61002728571428| firstbitseller: |57.83|monero_last_rate: |44.293710000000004| num: |155.0|random_num: |13.473441555477121
$: |66.0784| finalbitnum: |50.61002728571428| firstbitseller: |57.83|monero_last_rate: |44.293710000000004| num: |156.0|random_num: |14.933215682133705
$: |66.0784| finalbitnum: |50.61002728571428| firstbitseller: |57.83|monero_last_rate: |44.293710000000004| num: |157.0|random_num: |17.558844084107083
$: |66.0784| finalbitnum: |50.61002728571428| firstbitseller: |57.83|monero_last_rate: |44.293710000000004| num: |158.0|random_num: |12.763306442548004
$: |66.0784| finalbitnum: |50.61002728571428| firstbitseller: |57.83|monero_last_rate: |44.293710000000004| num: |159.0|random_num: |10.75212961812484
$: |66.0784| finalbitnum: |50.61002728571428| firstbitseller: |57.83|monero_last_rate: |44.293710000000004| num: |160.0|random_num: |11.416023906054612
